x,z,r00,r02,v_l,v_r
858.227,-4706.15,0.824755,-0.565491,8.50316,8.57478
855.159,-4701.65,0.827318,-0.561734,8.54123,8.61287
852.097,-4697.12,0.829884,-0.557936,8.58623,8.64384
849.137,-4692.7,0.832276,-0.554361,8.62382,8.68196
846.087,-4688.11,0.834317,-0.551285,8.66167,8.71983
843.04,-4683.48,0.836363,-0.548176,8.70661,8.75045
839.998,-4678.82,0.838319,-0.545179,8.74422,8.78826
837.052,-4674.27,0.839799,-0.542897,8.78192,8.82598
834.01,-4669.56,0.841326,-0.540528,8.8267,8.85634
831.065,-4664.96,0.842738,-0.538324,8.86414,8.89392
828.021,-4660.18,0.843758,-0.536723,8.90165,8.93144
825.069,-4655.53,0.844748,-0.535165,8.9389,8.96896
822.018,-4650.71,0.845768,-0.533551,8.97616,9.00635
818.963,-4645.86,0.846794,-0.531922,9.01348,9.04368
815.905,-4640.98,0.84782,-0.530284,9.05816,9.07339
812.844,-4636.07,0.848748,-0.528797,9.09526,9.11056
809.872,-4631.3,0.849248,-0.527994,9.13239,9.14769
806.893,-4626.5,0.849748,-0.527188,9.16933,9.18477
803.81,-4621.53,0.850265,-0.526355,9.20625,9.22175
800.719,-4616.53,0.850785,-0.525514,9.24301,9.25865
797.621,-4611.51,0.851307,-0.524668,9.27984,9.29548
794.613,-4606.62,0.851815,-0.523842,9.31657,9.33228
791.5,-4601.56,0.85234,-0.522988,9.35316,9.369
788.38,-4596.47,0.852866,-0.52213,9.3898,9.40565
785.252,-4591.35,0.853395,-0.521265,9.43431,9.43431
782.216,-4586.38,0.853824,-0.520562,9.47077,9.47077
779.071,-4581.22,0.853824,-0.520562,9.50724,9.50724
776.013,-4576.2,0.853824,-0.520562,9.51951,9.56784
772.845,-4571.01,0.854076,-0.520149,9.55593,9.60429
769.674,-4565.78,0.855681,-0.517504,9.58397,9.64894
766.507,-4560.53,0.857364,-0.514711,9.62011,9.68535
763.447,-4555.41,0.859431,-0.511252,9.66421,9.71354
760.199,-4549.92,0.861544,-0.507683,9.70034,9.74968
757.155,-4544.74,0.863092,-0.505046,9.73632,9.78586
754.018,-4539.36,0.864684,-0.502316,9.77209,9.82202
750.985,-4534.12,0.866225,-0.499655,9.80804,9.85799
747.859,-4528.69,0.867817,-0.496884,9.84384,9.89399
744.739,-4523.22,0.869402,-0.494105,9.87974,9.9299
741.722,-4517.89,0.870934,-0.4914,9.92374,9.95744
738.614,-4512.36,0.872427,-0.488745,9.96783,9.98475
735.509,-4506.81,0.873397,-0.487008,10.0035,10.0205
732.498,-4501.4,0.873908,-0.486092,10.039,10.0561
